Type,Priority,Content,File,Line
OPTIMIZE,low,"d task fetching with relationships\nexport async function GET() {\n  // Fetch tasks with related data in one query\n  const tasks = await prisma.task.findMany({\n    include: {\n      reminders: true,\n      dependencies: true\n    }\n  })\n\n  // Batch translate with relationships\n  const uiTasks = TaskTranslator.toUITasksWithRelations(tasks)\n\n  return NextResponse.json({ tasks: uiTasks })\n}\n```\n\n**Deliverables:**\n- Optimized query patterns\n- Reduced N+1 queries\n- Performance improvement metrics\n\n"",",".project-state.json",17534
OPTIMIZE,low,"d task fetching with relationships"",",".project-state.json",17545
NOTE,low,"This file should not be edited"",",".project-state.json",18821
NOTE,low,"s"",",".project-state.json",19459
TODO,medium,"Get from auth session"",",".project-state.json",19470
NOTE,low,"This function groups daily data by calendar week for consistency with the web app."",",".project-state.json",19481
NOTE,low,"** `currentRecoveryDay` is automatically calculated by the API based on `procedureDate` and the current date. Day of surgery = day 1."",",".project-state.json",19492
OPTIMIZE,low,"d for mobile with pagination, filtering, and compression"",",".project-state.json",19503
NOTE,low,"Task doesn't have soft delete, all tasks are active"",",".project-state.json",19514
NOTE,low,"s */}"",",".project-state.json",19525
NOTE,low,"Annotation plugin removed due to TypeScript compatibility issues"",",".project-state.json",19536
NOTE,low,"This is cleared on server restart and doesn't scale across instances"",",".project-state.json",19547
NOTE,low,"For HTML content, use a proper sanitization library like DOMPurify"",",".project-state.json",19558
TODO,medium,"Send to external monitoring service"",",".project-state.json",19569
TODO,medium,"Send to metrics service"",",".project-state.json",19580
TODO,medium,"Send to analytics service"",",".project-state.json",19591
TODO,medium,"Handle auto-dismiss logic if needed"",",".project-state.json",19602
NOTE,low,"This requires canvas manipulation and should be used client-side"",",".project-state.json",19613
NOTE,low,"/onboarding/care-plan is accessible without auth for invite flow"",",".project-state.json",19624
TODO,medium,"Use shared types for consistency across platforms when available"",",".project-state.json",19635
TODO,medium,"Implement proper streak calculation"",",".project-state.json",19646
TODO,medium,"Re-enable cache after ensuring data consistency"",",".project-state.json",19657
TODO,medium,"Implement milestone sync"",",".project-state.json",19668
NOTE,low,"Procedures are now loaded from database via loadProcedures()"",",".project-state.json",19679
TODO,medium,"Import shared types for migration when @care-tracker/shared package is available"",",".project-state.json",19690
NOTE,low,"We're gradually migrating to @care-tracker/shared types"",",".project-state.json",19701
NOTE,low,"In a real scenario, localStorage update happens in the store"",",".project-state.json",19712
NOTE,low,"lowercase 'network'"",",".project-state.json",19723
NOTE,low,"**"",",".project-state.json",19734
BUG,high,"s Found"",",".project-state.json",19745
BUG,high,"#1: Aspirin Not Repeating**"",",".project-state.json",20339
BUG,high,"#2: Missing totalRepeatDays Metadata**"",",".project-state.json",20350
BUG,high,"#3: Invite Flow Bypass**"",",".project-state.json",20361
NOTE,low,"The actual implementation would call user.upsert or similar"",",".project-state.json",20372
NOTE,low,"Static data hooks (useProviders, useDoctors, useProcedures) are tested via:"",",".project-state.json",20383
NOTE,low,"useStaticData combines multiple hooks - testing removed as it's redundant"",",".project-state.json",20394
NOTE,low,"Some fields may have defaults applied"",",".project-state.json",20405
NOTE,low,"s Field Improvements"",",".project-state.json",20416
NOTE,low,"s Field Structure"",",".project-state.json",20427
NOTE,low,"s Field Improvements"",",".project-state.json",20438
NOTE,low,"s Field Structure"",",".project-state.json",20449
NOTE,low,"s Field Improvements"",",".project-state.json",20460
NOTE,low,"s Field Structure"",",".project-state.json",20471
NOTE,low,"s Field Improvements"",",".project-state.json",20482
NOTE,low,"s Field Structure"",",".project-state.json",20493
NOTE,low,"s Field Improvements"",",".project-state.json",20504
NOTE,low,"s Field Structure"",",".project-state.json",20515
NOTE,low,"s Field Improvements"",",".project-state.json",20526
NOTE,low,"s Field Structure"",",".project-state.json",20537
NOTE,low,"**: Add context notes as you go","claude-memory-bank-plugin/README.md",233
Unchecked Task,medium,"Run `/memory end-session`","claude-memory-bank-plugin/README.md",252
Unchecked Task,medium,"Update CURRENT.md with new focus","claude-memory-bank-plugin/README.md",254
Unchecked Task,medium,"Add session summary to progress.md","claude-memory-bank-plugin/README.md",255
Unchecked Task,medium,"Update CHANGELOG.md if deployed","claude-memory-bank-plugin/README.md",256
Unchecked Task,medium,"Document architecture changes","claude-memory-bank-plugin/README.md",257
NOTE,low,"s","claude-memory-bank-plugin/README.md",274
Unchecked Task,medium,"Integration with Claude Code plugin system (waiting for API availability)","claude-memory-bank-plugin/README.md",292
Unchecked Task,medium,"Memory Manager agent (proactive pattern learning)","claude-memory-bank-plugin/README.md",294
Unchecked Task,medium,"Documentation Writer agent (auto-generate summaries)","claude-memory-bank-plugin/README.md",295
Unchecked Task,medium,"Integration tests","claude-memory-bank-plugin/README.md",296
Unchecked Task,medium,"Example project template","claude-memory-bank-plugin/README.md",297
Unchecked Task,medium,"Pattern auto-detection from code","claude-memory-bank-plugin/README.md",300
Unchecked Task,medium,"Smart tech stack detection from package.json","claude-memory-bank-plugin/README.md",302
Unchecked Task,medium,"Multi-project pattern sharing","claude-memory-bank-plugin/README.md",303
Unchecked Task,medium,"Visual dashboard for memory browsing","claude-memory-bank-plugin/README.md",304
Unchecked Task,medium,"Provider-initiated onboarding with QR codes (IN PROGRESS)","CLAUDE.md",285
Unchecked Task,medium,"Email/SMS notifications for task reminders","CLAUDE.md",286
Unchecked Task,medium,"Dark mode implementation","CLAUDE.md",287
Unchecked Task,medium,"Mobile app (React Native)","CLAUDE.md",288
Unchecked Task,medium,"Provider portal for monitoring patient progress","CLAUDE.md",289
NOTE,low,"** This component is designed to be reusable for both weeks AND days views by accepting a `periodType` prop.","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",140
Unchecked Task,medium,"Button renders with correct text in collapsed state (weeks)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",222
Unchecked Task,medium,"Button renders with correct text in expanded state (weeks)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",223
Unchecked Task,medium,"Button renders with correct text in collapsed state (days)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",224
Unchecked Task,medium,"Button renders with correct text in expanded state (days)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",225
Unchecked Task,medium,"Singular/plural handling works (""1 week"" vs ""2 weeks"", ""1 day"" vs ""2 days"")","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",226
Unchecked Task,medium,"onClick handler fires correctly","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",227
Unchecked Task,medium,"Keyboard navigation works (Tab to focus, Enter/Space to activate)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",228
Unchecked Task,medium,"Screen reader announces ""View prior X weeks button, collapsed""","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",229
Unchecked Task,medium,"Screen reader announces ""View prior X days button, collapsed""","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",230
Unchecked Task,medium,"Hook returns correct initial state (false by default)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",241
Unchecked Task,medium,"toggleExpanded updates state correctly","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",242
Unchecked Task,medium,"localStorage is updated on toggle","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",243
Unchecked Task,medium,"State persists across component remounts","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",244
Unchecked Task,medium,"Handles corrupted localStorage gracefully","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",245
Unchecked Task,medium,"Current week is always visible","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",359
Unchecked Task,medium,"Prior weeks are hidden by default","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",360
Unchecked Task,medium,"Clicking divider button expands prior weeks","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",361
Unchecked Task,medium,"Clicking again collapses prior weeks","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",362
Unchecked Task,medium,"Future weeks are always visible","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",363
Unchecked Task,medium,"Week parity (alternating colors) is correct","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",364
Unchecked Task,medium,"Expansion is smooth (no jerky animation)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",411
Unchecked Task,medium,"Collapse is smooth","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",412
Unchecked Task,medium,"No content flash during animation","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",413
Unchecked Task,medium,"Works on mobile Safari (iOS)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",414
Unchecked Task,medium,"Works on Chrome, Firefox, Edge","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",415
Unchecked Task,medium,"Screen reader announces ""View prior 3 weeks button, collapsed""","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",467
Unchecked Task,medium,"After clicking: ""Hide prior 3 weeks button, expanded""","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",468
Unchecked Task,medium,"Tab navigation works (button is focusable)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",469
Unchecked Task,medium,"Enter/Space key activates button","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",470
Unchecked Task,medium,"Focus visible indicator shows on keyboard focus","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",471
Unchecked Task,medium,"NVDA/JAWS/VoiceOver testing on Windows/Mac","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",472
Unchecked Task,medium,"Button is tappable on mobile (44px min height)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",517
Unchecked Task,medium,"Text doesn't overflow on small screens","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",518
Unchecked Task,medium,"Animation is smooth on iOS Safari","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",519
Unchecked Task,medium,"No layout shift on expand/collapse","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",520
Unchecked Task,medium,"Works on iPhone SE (375px width)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",521
Unchecked Task,medium,"Works on iPad (768px width)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",522
Unchecked Task,medium,"Chrome: Collapse/expand works","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",682
Unchecked Task,medium,"Firefox: Collapse/expand works","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",683
Unchecked Task,medium,"Safari: Collapse/expand works","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",684
Unchecked Task,medium,"Edge: Collapse/expand works","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",685
Unchecked Task,medium,"Animation is smooth in all browsers","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",686
Unchecked Task,medium,"State persists after refresh","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",687
Unchecked Task,medium,"iOS Safari: Touch target works, animation smooth","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",690
Unchecked Task,medium,"Chrome Mobile: Touch target works, animation smooth","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",691
Unchecked Task,medium,"No horizontal scroll issues","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",692
Unchecked Task,medium,"Button text is readable on small screens","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",693
Unchecked Task,medium,"NVDA (Windows): Screen reader announces correctly","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",696
Unchecked Task,medium,"JAWS (Windows): Screen reader announces correctly","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",697
Unchecked Task,medium,"VoiceOver (Mac): Screen reader announces correctly","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",698
Unchecked Task,medium,"Keyboard navigation: Tab/Enter/Space work","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",699
Unchecked Task,medium,"Focus indicators visible","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",700
Unchecked Task,medium,"Color contrast meets WCAG AA standards","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",701
Unchecked Task,medium,"Works when only 1 prior week exists","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",704
Unchecked Task,medium,"Works when 10+ prior weeks exist","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",705
Unchecked Task,medium,"Works when procedure is in Week 1 (no prior weeks)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",706
Unchecked Task,medium,"Handles corrupted localStorage gracefully","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",707
Unchecked Task,medium,"Works with prefers-reduced-motion enabled","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",708
NOTE,low,"** The daily view works differently than weekly view:","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",873
Unchecked Task,medium,"Divider appears when viewing a day after procedure day","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",889
Unchecked Task,medium,"Clicking divider expands/collapses prior days content","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",890
Unchecked Task,medium,"State persists across component remounts","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",891
Unchecked Task,medium,"Works on mobile devices","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",892
Unchecked Task,medium,"Keyboard navigation works","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",893
Unchecked Task,medium,"Screen reader announces correctly","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",894
Unchecked Task,medium,"Prior weeks are collapsed by default","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",971
Unchecked Task,medium,"Current week is always visible","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",972
Unchecked Task,medium,"Clicking divider button expands/collapses prior weeks","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",973
Unchecked Task,medium,"State persists across page refreshes","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",974
Unchecked Task,medium,"Animation is smooth (60fps target)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",975
Unchecked Task,medium,"Prior days are collapsed by default (when applicable)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",978
Unchecked Task,medium,"Current day content is always visible","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",979
Unchecked Task,medium,"Clicking divider button expands/collapses prior days content","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",980
Unchecked Task,medium,"State persists independently from weekly view state","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",981
Unchecked Task,medium,"Animation is smooth (60fps target)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",982
Unchecked Task,medium,"Time to Interactive (TTI) increase < 100ms","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",985
Unchecked Task,medium,"Bundle size increase < 6KB gzipped (includes daily view)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",986
Unchecked Task,medium,"Animation frame rate > 55fps on mid-range devices","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",987
Unchecked Task,medium,"No performance degradation when switching between views","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",988
Unchecked Task,medium,"100% keyboard navigable (both views)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",991
Unchecked Task,medium,"WCAG 2.1 AA compliant (both views)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",992
Unchecked Task,medium,"Screen reader announces all states correctly (weeks and days)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",993
Unchecked Task,medium,"Focus indicators visible and clear","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",994
Unchecked Task,medium,"Proper singular/plural announcements (""1 week"" vs ""2 weeks"")","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",995
Unchecked Task,medium,"Feature is discoverable in both views (users find the button)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",998
Unchecked Task,medium,"Interaction is intuitive (no confusion)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",999
Unchecked Task,medium,"Mobile touch target is comfortable (44px+ height)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1000
Unchecked Task,medium,"Consistent behavior between weekly and daily views","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1001
Unchecked Task,medium,"All unit tests pass","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1008
Unchecked Task,medium,"All integration tests pass","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1009
Unchecked Task,medium,"Manual QA complete on all browsers","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1010
Unchecked Task,medium,"Accessibility audit complete","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1011
Unchecked Task,medium,"Code review approved","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1012
Unchecked Task,medium,"No console errors or warnings","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1013
Unchecked Task,medium,"Feature flag ready (if applicable)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1016
Unchecked Task,medium,"Database migrations run (N/A for this feature)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1017
Unchecked Task,medium,"Environment variables set (N/A)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1018
Unchecked Task,medium,"Build succeeds on CI/CD","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1019
Unchecked Task,medium,"Staged deployment tested","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1020
Unchecked Task,medium,"Monitor error logs for 24 hours","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1023
Unchecked Task,medium,"Check analytics for feature usage","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1024
Unchecked Task,medium,"Gather user feedback","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1025
Unchecked Task,medium,"Document any issues found","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1026
Unchecked Task,medium,"Plan follow-up improvements","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1027
Unchecked Task,medium,"Collapse/expand animation for individual weeks within prior section","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1034
Unchecked Task,medium,"""Expand All"" / ""Collapse All"" button for power users","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1035
Unchecked Task,medium,"Keyboard shortcut (e.g., Cmd+P to toggle)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1036
Unchecked Task,medium,"Remember per-week expanded states individually","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1037
Unchecked Task,medium,"Add analytics to track usage patterns","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1038
Unchecked Task,medium,"Show multiple days simultaneously in collapsed view","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1041
Unchecked Task,medium,"Thumbnail preview of collapsed days","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1042
Unchecked Task,medium,"Quick navigation between collapsed days","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1043
Unchecked Task,medium,"Smooth scroll to current week/day on page load","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1046
Unchecked Task,medium,"Highlight current week/day on expand","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1047
Unchecked Task,medium,"Show summary stats in collapsed state (""3 weeks, 42 tasks completed"")","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1048
Unchecked Task,medium,"Sync collapse state across tabs (using localStorage events)","COLLAPSIBLE_TIMELINE_IMPLEMENTATION_PLAN.md",1049
Unchecked Task,medium,"Add animations and styling","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",135
Unchecked Task,medium,"Replace existing loading states","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",136
Unchecked Task,medium,"Test across different routes","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",137
Unchecked Task,medium,"Create GlobalNav component","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",140
Unchecked Task,medium,"Implement responsive design","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",141
Unchecked Task,medium,"Update app layout structure","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",142
Unchecked Task,medium,"Add routing and active states","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",143
Unchecked Task,medium,"Test on mobile/desktop","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",144
Unchecked Task,medium,"Install recharts dependency","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",147
Unchecked Task,medium,"Create RecoverySparkline component","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",148
Unchecked Task,medium,"Update timeline header layout","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",149
Unchecked Task,medium,"Implement natural language summary","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",150
Unchecked Task,medium,"Connect to real data","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",151
Unchecked Task,medium,"Test with different procedures","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",152
Unchecked Task,medium,"Fine-tune animations","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",155
Unchecked Task,medium,"Ensure consistent styling","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",156
Unchecked Task,medium,"Performance optimization","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",157
Unchecked Task,medium,"Cross-browser testing","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",158
Unchecked Task,medium,"Mobile responsiveness testing","docs/_archive/APP_STYLE_UPDATE_IMPLEMENTATION.md",159
